,created,sentiment_score
9185,1655874455,3.0
9186,1655877350,4.0
9187,1655881592,10.0
9188,1655882265,3.0
9189,1655886215,4.0
9190,1655888510,12.0
9191,1655895716,10.0
9192,1655901855,5.0
9193,1655902284,-2.0
9194,1655903487,-3.0
9195,1655903552,8.0
9196,1655903756,1.0
9197,1655904027,3.0
9198,1655906387,0.0
9199,1655908110,1.0
9200,1655914461,7.0
9201,1655915528,3.0
9202,1655916217,8.0
9203,1655917862,1.0
9204,1655918676,15.0
9205,1655922189,-1.0
9206,1655923213,-5.0
9207,1655926310,-6.0
9208,1655927268,1.0
9209,1655927695,2.0
9210,1655931965,4.0
9211,1655933518,4.0
9212,1655936598,4.0
9213,1655936782,0.0
9214,1655940596,8.0
9215,1655940934,-1.0
9216,1655941032,4.0
9217,1655941475,1.0
9218,1655942313,-2.0
9219,1655945028,4.0
9220,1655947157,6.0
9221,1655951553,11.0
9222,1655954747,2.0
9223,1655955479,-2.0
9224,1655955836,1.0
9225,1655957209,4.0
9226,1655957314,1.0
9227,1655959210,2.0
9228,1655960773,3.0
9229,1655962788,0.0
9230,1655964740,10.0
9231,1655967637,5.0
9232,1655971180,0.0
9233,1655977606,3.0
9234,1655978393,0.0
9235,1655978776,2.0
9236,1655982016,1.0
9237,1655982847,4.0
9238,1655984884,3.0
9239,1655984925,-3.0
9240,1655989695,-1.0
9241,1655990628,4.0
9242,1655990783,2.0
9243,1655993991,-1.0
9244,1655997596,0.0
9245,1655999689,4.0
9246,1655999689,9.0
9247,1656000115,1.0
9248,1656001669,6.0
9249,1656001725,8.0
9250,1656001831,-1.0
9251,1656001993,14.0
9252,1656003399,6.0
9253,1656003928,0.0
9254,1656004612,0.0
9255,1656005381,3.0
9256,1656006248,1.0
9257,1656006874,10.0
9258,1656007126,1.0
9259,1656009509,2.0
9260,1656013432,5.0
9261,1656013832,4.0
9262,1656016882,4.0
9263,1656017103,10.0
9264,1656017474,1.0
9265,1656018252,4.0
9266,1656018734,1.0
9267,1656019414,-2.0
9268,1656020084,1.0
9269,1656020150,0.0
9270,1656020787,4.0
9271,1656021087,7.0
9272,1656022041,8.0
9273,1656022067,37.0
9274,1656022406,-1.0
9275,1656023089,0.0
9276,1656028005,1.0
9277,1656028371,-1.0
9278,1656028927,1.0
9279,1656030339,4.0
9280,1656032526,-2.0
9281,1656037428,-4.0
9282,1656039005,3.0
9283,1656042491,3.0
9284,1656046513,6.0
9285,1656047176,3.0
9286,1656047486,8.0
9287,1656051866,-2.0
9288,1656065745,6.0
9289,1656066820,-7.0
9290,1656067210,11.0
9291,1656069031,-1.0
9292,1656071430,0.0
9293,1656073410,-3.0
9294,1656077308,-2.0
9295,1656077390,0.0
9296,1656079527,3.0
9297,1656079786,5.0
9298,1656081342,-2.0
9299,1656081820,1.0
9300,1656083945,0.0
9301,1656084268,10.0
9302,1656085161,7.0
9303,1656087752,2.0
9304,1656091323,5.0
9305,1656093185,3.0
9306,1656093377,4.0
9307,1656093513,0.0
9308,1656097560,4.0
9309,1656097594,2.0
9310,1656100052,1.0
9311,1656103754,-1.0
9312,1656106466,11.0
9313,1656114359,1.0
9314,1656119655,1.0
9315,1656121545,1.0
9316,1656124382,8.0
9317,1656133235,3.0
9318,1656133739,-1.0
9319,1656140092,-2.0
9320,1656142193,8.0
9321,1656143439,-1.0
9322,1656144787,2.0
9323,1656156826,5.0
9324,1656156830,1.0
9325,1656161564,14.0
9326,1656162602,5.0
9327,1656163708,4.0
9328,1656166653,3.0
9329,1656170517,1.0
9330,1656173151,3.0
9331,1656174655,1.0
9332,1656175799,9.0
9333,1656175809,6.0
9334,1656179627,-1.0
9335,1656183304,3.0
9336,1656184813,5.0
9337,1656186087,0.0
9338,1656186182,4.0
9339,1656189151,9.0
9340,1656195073,-1.0
9341,1656197278,-3.0
9342,1656202406,3.0
9343,1656203760,5.0
9344,1656204595,11.0
9345,1656204737,-2.0
9346,1656205942,9.0
9347,1656206146,2.0
9348,1656207472,4.0
9349,1656207629,7.0
9350,1656211879,1.0
9351,1656213828,3.0
9352,1656214679,4.0
9353,1656219962,3.0
9354,1656220758,4.0
9355,1656221349,4.0
9356,1656224092,8.0
9357,1656224159,5.0
9358,1656225795,2.0
9359,1656236528,1.0
9360,1656252001,2.0
9361,1656252366,1.0
9362,1656252573,-7.0
9363,1656254121,7.0
9364,1656254246,1.0
9365,1656258701,-9.0
9366,1656261233,4.0
9367,1656264691,25.0
9368,1656264874,6.0
9369,1656265212,3.0
9370,1656266334,-1.0
9371,1656270169,11.0
9372,1656272088,9.0
9373,1656279235,1.0
9374,1656282177,12.0
9375,1656283372,1.0
9376,1656284644,7.0
9377,1656290272,1.0
9378,1656291795,-1.0
